plain_text_def,plain_text_term,gpt-3.5-turbo terms,gpt-4 terms
"[Directed Modular-Width]
	Let k ∈ℕ_0, and let D be a digraph. We say that D has directed modular width at most k, if one of the following holds:
	
		
  * |V(D)| ≤ k, or
		
  * There exists a partition of V(D) into ℓ∈{2,…,k} modules M_1, …, M_ℓ such that for every i, D[M_i] has directed modular width at most k.
	
	The least k ≥ 1 for which a digraph D has directed modular width at most k is now defined to be the directed modular width , denoted by (D), of D.
",directed modular width at most;directed modular width,directed modular width###digraph###partition###modules###directed modular width (D),Directed Modular-Width
"
For a positive integer, the class CLW_k of k-labelled digraphs is recursively defined as follows.

	
	
  * The digraph on a single vertex v with label i∈[k] is in CLW_k.
	
	
  * Let D_1=V_1,E_1,lab_1∈ CLW_k and D_2=V_2,E_2,lab_2∈ CLW_k be two k-labelled digraphs on disjoint vertex sets.
	Let D_1⊕ D_2 be the disjoint union of V_1,E_1 with V_2,E_2 together with the labelling lab such that for all v∈ V_1∪ V_2:
	
    labvlab_1vv∈ V_1lab_2vv∈ V_2.

	Then D_1⊕ D_2∈ CLW_k.
	
	
  * Let D=V,E,lab∈ CLW_k be a k-labelled digraph and i,j∈[k] be two distinct integers.
	Let ρ_i→ jD=V,E,lab' where
	
    lab'vlabvlabv≠ ijlabv=i.

	For every v∈ V.
	Then ρ_i→ jD∈ CLW_k.
	
	
  * Let D=V,E,lab∈ CLW_k be a k-labelled digraph, and i,j∈[k] be two distinct integers.
Let α_i,jD be the digraph with labelling lab obtained from D by adding all edges a,b where laba=i and labb=j.
Then α_i,jD∈ CLW_k.
	

The directed clique width of a digraph D, denoted by dcwD, is the minimum integer k such that there is a k-labelling lab of D where VD,ED,lab∈ CLW_k.
Directed clique-width k-expressions are expressions which recursively construct a digraph with the four operations defined above.
",directed clique width;Directed clique-width k-expressions,"CLW_k###D_1⊕ D_2###CLW_k###D_1###V_1,E_1,lab_1###CLW_k###D_2###V_2,E_2,lab_2###CLW_k###D_1⊕ D_2###CLW_k###D###V,E,lab###CLW_k###ρ_i→ jD###V,E,lab'###CLW_k###D###V,E,lab###CLW_k###α_i,jD###CLW_k###D###V,E,lab###CLW_k###",class CLW_k ### directed clique width ### Directed clique-width k-expressions
"
	Let D be a digraph equipped with an assignment N:V(D) →ℕ of positive integers to the vertices.
	An N-colouring with k∈ℕ colours of D is an assignment of lists cv⊆[k] of colours to every vertex v∈VD such that cv=Nvfor all v∈VD, and moreover there is no directed cycle C in D such that i ∈ c(v) for every v ∈ V(C) and any i ∈ [k].


	
	We define the N-dichromatic number χ⃗_N(D) of a digraph D to be the minimum k such that an N-colouring with k colours of D exists.
",N-colouring;N-colouring;N-dichromatic number,N-colouring###k###D###digraph###assignment###N###V(D)###ℕ###positive integers###vertices###lists###cv###[k]###colours###vertex###VD###directed cycle###C###i###[k]###N-dichromatic number###χ⃗_N(D)###minimum k###colours###exists,N-colouring###N-dichromatic number
"
	Let D be a digraph, P a directed path and βVP→ 2^VD.
	For a directed subpath P' of P, we use the notation βP'=⋃_t∈ V(P')βt.
	
	The tuple P,β is called a directed path decomposition for D if
	
		
		
  * ⋃_t∈ V(P)βt=VD,
		
		
  * βPt,βt'P is a directed separation of D for every t,t'∈EP, and
		
		
  * B_vt∈VPv∈βt induces a subpath of P.
		
	
	
	We call βt the bags of P,β.
	The width of P,β is widthP,β=max_t∈ V(P)βt-1.
	The directed pathwidth of D, denoted by D, is the minimum width of a directed path decomposition for D.
	
	The task here is to determine the directed pathwidth of a given digraph D and find a directed path decomposition of minimum width while doing so.
	
	Directed PathwidthDPWprob:DPW
	A digraph D.
	Find a directed path decomposition of minimum width for D.
	
	 
		There exists an algorithm that given a digraph D as input, outputs a directed path decomposition for D of minimum width.
		The algorithm runs in time 𝒪ω n^3+ω^3 2^ω^2 n, where nVD and ωD.
	
	
",directed path decomposition;bags;width,"digraph###directed path###βVP→ 2^VD###directed subpath###βP'=⋃_t∈ V(P')βt###directed path decomposition###D###⋃_t∈ V(P)βt=VD###βPt,βt'P###directed separation###B_vt∈VPv∈βt###bags of P,β###width of P,β###widthP,β=max_t∈ V(P)βt-1###directed pathwidth of D###D###minimum width###algorithm###time complexity###",directed path decomposition###bags###width###directed pathwidth###Directed PathwidthDPWprob:DPW
"
	Let D be a directed graph and nVD→ℕ and wVD→ℕ two weight functions for the vertices of D.
	Given a directed path decomposition P,β of D we define the n-w-evaluation function for every vertex v∈VD as follows:
	
    eval_n,w^P,βvnvthere is t,t'∈ED such that v is a guard at t,t'wvotherwise.

	The n-w-width of P,β is then defined as
	
    n-w-widthP,βmax_t∈ V(P)∑_v∈β(t)eval_n,w^P,βv

	At last we define the n-w-directed pathwidth of D as the minimum n-w-width over all directed path decompositions of D.
",n-w-evaluation;n-w-width;n-w-directed pathwidth,n-w-evaluation function###n-w-width###n-w-directed pathwidth###directed graph###weight functions###vertices###directed path decomposition###guard###max###sum###minimum,n-w-evaluation function###n-w-width###n-w-directed pathwidth
"
The cycle-rank of a digraph D, denoted by crD, is defined as follows

	
  * If D has no directed cycle, den crD=0.
	
  * If D is strongly connected, then crD=1+min_v∈ V(D)crD-v.
	
  * Otherwise 
    crD=max_strongly connected component H
    of DcrH.


",cycle-rank,cycle-rank###digraph###crD###directed cycle###strongly connected###V(D)###crD-v###strongly connected component###crH,cycle-rank
"
Let D be a directed graph and nVD→ℕ and wVD→ℕ two weight functions for the vertices of D.
Given an ordering σ for VD we define the n-w-σ-evaluation function for every vertex v∈VD as follows:

    eval^σ_n,wvnvv is an inner vertex of T_σwvv is a leaf of T_σ.

The n-w-rank is then defined as

    n-w-rankσmax_P⊆ T_σ
    P path from the root of T_σ to a leaf ∑_v∈ V(P)eval^σ_n,wv

At last we define the n-w-cycle-rank of D, denoted by n-w-crD, as the minimum n-w-rank of an ordering σ for VD.
",n-w-σ-evaluation;n-w-rank;n-w-cycle-rank,n-w-σ-evaluation function###n-w-rank###n-w-cycle-rank,n-w-σ-evaluation function ### n-w-rank ### n-w-cycle-rank
"
A theta graph joins vertices v and w with three internally disjoint paths of (edge) lengths a, b, and c. We denote this graph by θ_a,b,c.
",theta graph,theta graph###vertices###internally disjoint paths###edge lengths###graph###,"theta graph###θ_a,b,c"
"[<cit.>]
  Let B be a basis of the matroid M. For any v ∈Σ_B, v is in the local tropical linear space (M)_B if and only if the minimum min{v_i | i ∈ C} is attained at least twice for any fundamental circuit C over the basis B.
",fundamental,basis###matroid###local tropical linear space###fundamental circuit,local tropical linear space
"
 Let P be a polytope. Then its boundary complex ∂ P is shellable. 


In particular, they show that every polytope may be shelled using a construction called a line shelling <cit.>.
",line shelling,polytope###boundary complex###shellable###line shelling,boundary complex ∂ P###line shelling
"
(The Dehn-Sommerville Equations) Let ∂ P be the boundary complex of a simplicial d-polytope with h(∂ P) = [h_0, h_1, …, h_d]. Then the following equations hold:


    h_i = h_d-i for all  1 ≤ i ≤d/2  .

",The Dehn-Sommerville Equations,Dehn-Sommerville Equations###boundary complex###simplicial d-polytope###h(∂ P)###h_0###h_1###h_d###h_i###1 ≤ i ≤d/2,Dehn-Sommerville Equations
"
(McMullen's Upper Bound Theorem) <cit.> Let P be a d-polytope with k vertices. Then for all integers 0 ≤ n ≤ d,


    f_n-1 (P)    ≤ f_n-1 (C_d(k))
    
    h_n(P)    ≤ h_n(C_d(k))


",McMullen's Upper Bound Theorem,McMullen's Upper Bound Theorem###d-polytope###vertices###integers###polytope###C_d(k)###f_n-1###h_n,McMullen's Upper Bound Theorem###d-polytope###f_n-1 (P)###f_n-1 (C_d(k))###h_n(P)###h_n(C_d(k))
"

(The Generalized Lower Bound Theorem) Given a simplicial d-polytope P, the following hold:



  * 1 = h_0(P) ≤ h_1(P) ≤…≤ h_*d/2


  * For any integer 1 ≤ r ≤*d/2, h_r-1(P) = h_r(P) if and only if P is (r-1)-stacked.

",The Generalized Lower Bound Theorem,Generalized Lower Bound Theorem###simplicial d-polytope###h_0(P)###h_1(P)###h_*d/2###integer###r###(r-1)-stacked,Generalized Lower Bound Theorem###simplicial d-polytope P###(r-1)-stacked
" (The Generalized Dehn-Sommerville Equations) Let P be an Eulerian poset of rank d+1 with h(P ∖{1}, x) = h_0 + h_1x + … h_d x^d. Then for all 0 ≤ i ≤ d, 

    h_i = h_d-i  .

",The Generalized Dehn-Sommerville Equations,"Eulerian poset###rank###h(P ∖{1}, x)###h_0###h_1###h_d###i",Generalized Dehn-Sommerville Equations
" (Bayer and Ehrenborg) Let f and g be linear maps f,g : ℤ⟨ a, b ⟩→ℤ[x] defined by the following intertwined recursive definition:



  * For any monomial v, 

    f(v)    = κ(v) + M ∘ (g ⊗κ) ∘ C(v) 
       = κ(v) + ∑_v g(v_(1)) κ(v_(2))


and extend linearly.


  * For any monomial v of degree n with m = n/2 set 


    g(v) = U_≤ m [(1-x)f(v)]


and extend linearly.


Then, for any graded poset P with 0 and 1, f(Ψ_P) = h(P ∖{1}, x) and g(Ψ_P) = g(P, x) where h(P ∖{1}, x) is the toric h-polynomial of P and g(P,x) is the g-polynomial of P.
",Bayer and Ehrenborg,h-polynomial###g-polynomial,f ### g ### h-polynomial ### g-polynomial
"
A partially ordered set or poset is a set P with a binary relation ≤ that satisifies the following three axioms for all elements s,t,u ∈ P:



  * Reflexivity: t ≤ t.

  * Antisymmetry: If s ≤ t and t ≤ s then s = t.

  * Transitivity: If s ≤ t and t ≤ u then s ≤ u.
 

",partially ordered set;poset,partially ordered set###poset###binary relation###Reflexivity###Antisymmetry###Transitivity,partially ordered set###poset
"
Given a poset P with s ≤ t, we say that t covers s and write s ⋖ t if there exists no u ∈ P such that s < u < t.
",covers,covers###⋖,covers
"
Given a poset P and s,t ∈ P, we define the interval [s,t] by


    [s,t] = {x   |   s ≤ x ≤ t, x ∈ P }  .

",interval,interval###poset,interval
"
Suppose every maximal chain in P has length n. We then say that P is graded with rank n.
",graded;rank,rank###graded,graded with rank n
"

We say that a finite graded poset P with 0 and 1 is Eulerian if every nonempty interval [s,t] contains an equal number of elements of odd rank and even rank.
",Eulerian,Eulerian###finite graded poset###interval###odd rank###even rank,Eulerian
"

For S ⊆{0, 1, …, n } we let P_S denote the S-rank selected subposet 
 of P,
 
 
    P_S = {x ∈ P : ρ(x) ∈ S}

 
 ",S-rank selected subposet,P_S###S-rank selected subposet###P###S,P_S
"
The flag f-vector of P is defined by the function  α_P: 2^[n]→ℤ 

 where α_P (S) = the number of maximal chains of P_S. 
 ",flag f-vector,f-vector###flag f-vector###P###function###α_P###2^[n]###ℤ###α_P (S)###number of maximal chains###P_S,flag f-vector of P###α_P
" The flag h-vector of P is defined by the function β_P: 2^[n]→ℤ where
 
    β_P(S) = ∑_T⊆ S (-1)^#(S ∖ T)α_P(T)

 ",flag h-vector,h-vector###flag h-vector###P###function###β_P###2^[n]###ℤ###∑_T⊆ S###(-1)^#(S ∖ T)###α_P(T),flag h-vector of P###β_P(S)
" The ab-index for a graded poset P of rank n + 1 with 0̂ and 1̂ is the generating function defined by
 
 
    Ψ_P (a,b) = ∑_S ⊆ [n]β_P (S) u_S   .

 ",ab-index,ab-index###graded poset###rank###generating function###Ψ_P###β_P###u_S,"ab-index###graded poset P of rank n + 1 with 0̂ and 1̂###generating function###Ψ_P (a,b)###β_P (S) u_S"
" The flag polynomial for a graded poset P of rank n + 1 with 0̂ and 1̂ is defined by
 
  
    Υ_P (a, b) = ∑_S ⊆ [n]α_P (S) u_S

",flag polynomial,flag polynomial###graded poset###rank###flag coefficient###subset###u_S,flag polynomial
"
 A polytopal complex 𝒞⊆ℝ^d is a finite set of polytopes such that



  * The empty face is present. That is, ∅∈𝒞.

  * If P ∈𝒞, then all proper faces of P are also in C. 

  * For any P, Q ∈𝒞, if P ∩ Q = F where F ≠∅, then F is a face of both P and Q.  

",polytopal complex,polytopal complex###empty face###proper faces###face,polytopal complex
"
Let Γ be a pure d-dimensional polytopal complex. We say Γ is shellable if either Γ is 0-dimensional, or there exists a linear order (called a shelling ) of its facets F_1, F_2, … F_k that satisfies the following recursive definition: 



  * The boundary complex ∂ F_1 has a shelling.

  * For 1 < j ≤ k, we have


    F_j ∩( ⋃_i=1^j-1 F_i ) = G_1 ∪ G_2 … G_r


for some shelling G_1, G_2, … G_r, … G_s of ∂ F_j with 1 ≤ r ≤ s. In other words, the intersection between F_j and the union of the previous facets in the shelling is the beginning segment of some shelling of ∂ F_j.

",shellable;shelling,shellable###polytopal complex###linear order###facets###boundary complex###shelling###intersection###beginning segment###recursive definition###dimensional###pure###0-dimensional###grafting###intervals###,shellable###shelling###boundary complex###beginning segment
"
A space is a cell of dimension n if it is homeomorphic to the closed ball B^n. It is an open cell if it is homeomorphic to IntB^n.
",cell;open cell,space###cell###dimension###homeomorphic###closed ball###open cell###IntB^n,cell of dimension n ### open cell
"
A CW complex is a topological space X partitioned into open cells e_α such that:



  * X is Hausdorff.

  * For each open n-cell e_α, there exists a continuous map f_α: B^n → X that induces a homeomorphism between IntB^n and e_α and carries ∂ B^n into a finite union of open cells of dimension less than n.


  * X is equipped with the weak topology: A set A ⊆ X is open (or closed) if and only if A ∩e̅_α is open (or closed) in e̅_α for all α.

",CW complex,CW complex###topological space###open cells###Hausdorff###continuous map###homeomorphism###IntB^n###∂ B^n###weak topology###open###closed###,CW complex###weak topology
"
 Given posets P and Q with 0 and 1, we define the join P * Q to be the poset on the set 
  
    P * Q := P \{1̂}∪ (Q \{0̂}

  
  with x ≤ y in P * Q if either
  
  
  * x ≤ y in P \{1}
  
  * x ≤ y in Q \{0}
  
  * x ∈ P \{1} and y ∈ Q \{0}
  
  ",join,join###poset###P###Q,P * Q
"
 

Let B_2 denote the boolean algebra of rank two. Let P be a poset. Then we call P * B_2 the suspension of P and denote it as Σ P.
 ",suspension,boolean algebra of rank two###poset###suspension###Σ P,suspension of P###B_2###Σ P
"


  * We say a poset P is near-Eulerian if P = Q ∖{x} where Q is a rank n+1 Eulerian poset and x is a coatom of Q (that is, x has rank n).


  * Given a near-Eulerian poset P, we may uniquely recover the associated Eulerian poset Q by adding a new element x such that y ⋖_Q x for any element y ∈ P where [y, 1]_P contains exactly three elements. We call Q the semisuspension of P and denote it as Q :=  P.

",near-Eulerian;semisuspension,near-Eulerian###rank###Eulerian###coatom###semisuspension,near-Eulerian###semisuspension
"
<cit.> Let Ω be an Eulerian n dimensional  regular CW-complex. We say that Ω is spherically shellable (S-shellable for short) if either Ω is empty, or there exists a linear order of its facets σ_1, σ_2 …σ_k that satisfies the following recursive definition: 


  * The boundary complex ∂σ_1 has a shelling.

  * For 1 < i ≤ k -1, let Γ_i be the closure of the subcomplex of ∂σ_i that is not contained in the previously shelled facets. That is,


    Γ_i:= cl[∂σ_i ∖(⋃_j=1^i-1σ_j∩σ_i)]   .

We then need that Γ_i is a near-Eulerian (n-1)-CW-complex and that Γ_i is S-shellable with initial facet τ (where τ is the new facet introduced by the semisuspension).

",spherically shellable,spherically shellable###empty###linear order###facets###boundary complex###shelling###closure###subcomplex###previously shelled facets###near-Eulerian###CW-complex###initial facet###semisuspension,spherically shellable###near-Eulerian (n-1)-CW-complex###S-shellable with initial facet
"

 Given a poset P, we define a simplicial complex Δ(P) (called the order complex of P) as follows:
 
 
 
  * The vertices of Δ(P) are exactly the elements of P, excluding 0 and 1 (if present).
 
  * The faces of Δ(P) correspond bijectively with the nondegenerate chains of P. That is, for any chain 0 < x_0 < x_1 < … x_k < 1 in P, there exists a k-simplex in Δ(P) with vertices x_0, x_1, … x_k and visa versa.
 
 
 ",order complex,simplicial complex###order complex###poset###vertices###nondegenerate chains###k-simplex###,order complex of P###vertices of Δ(P)###faces of Δ(P)
"


Let Γ be a pure n-dimensional simplicial complex, and let σ∈Γ be an i-face. 



  * The star of σ is the n-dimensional simplicial subcomplex induced by the faces that contain σ. That is,


    Star_Γ (σ) = {x ∈Γ  |  ∃ F ∈Γ such that σ≤ F,  and  x ≤ F}  .



  * The link of σ is the (n-i-1)-dimensional simplicial subcomplex given by all the faces of the Star_Γ (σ) that do not intersect σ. That is, 


    Link_Γ (σ) = {x ∈Star_Γ (σ)   |  σ≰ x}  .



",star;link,"star, link###",star of σ###link of σ
"
We say that an n-dimensional simplicial complex Δ is Gorenstein if Δ is a real homology sphere of dimension n. Explicitly, this means that we have that the real reduced homology of Δ is


    H_i(Δ, ℝ) = {[         ℝ if  i = n;         0 otherwise ].

   and for any simplex x ∈Δ with (x) = m, we have that the reduced homology of its link is 


    H_i(Link_Δ (x), ℝ) = {[                 ℝ if  i = n - m - 1;                 0         otherwise ]. .

   ",Gorenstein,Gorenstein###real homology sphere###dimension###real reduced homology###simplex###link,Gorenstein
"
 We say that a pair of simplicial complexes (Δ, ∂Δ) is near-Gorenstein if Δ is a real homology ball of dimension n with boundary ∂Δ. That is,



  * The complex ∂Δ is Gorenstein of dimension n - 1.

  * For every x ∈Δ of dimension m, the reduced homology of its link is


    H_i(Link_Δ (x), ℝ) = {[                             ℝ if  i = n - m - 1  and  x ∉∂Δ;                             0                     otherwise ]. .



",near-Gorenstein,Gorenstein###homology ball###boundary###dimension###link,near-Gorenstein
"
Suppose P is a near-Eulerian poset. Recall that we may uniquely obtain its semisuspension P by adding a new coatom τ such that x ≤_ Pτ for any x ∈ P such that [x, 1]_P is a three element chain. We then define the boundary of P to be 


    ∂ P:= P_1 ([0, τ) )  .
 

This is well defined because ∂ P ⊂ P. Also note that ∂ P is Eulerian. We refer to any element x ∈ P ∖∂ P as an element of (or lying in) the interior of P.
",boundary;interior,near-Eulerian poset###semisuspension###coatom###boundary###Eulerian###interior,near-Eulerian poset###semisuspension###boundary of P###interior of P
"
We say a pair of posets (P, ∂ P) is near-Gorenstein* if (Δ (P), Δ(∂ P)) is a near-Gorenstein complex.
",near-Gorenstein*,near-Gorenstein###posets###Δ (P)###Δ(∂ P)###near-Gorenstein complex,near-Gorenstein*
"
 We define the local flag polynomial of P by 


    P (a,b) = P (a + b, b)   .

",local flag polynomial,local flag polynomial###P###,local flag polynomial
"
 Given face posets of regular CW complexes Π and Π, we say that Π is a subdivision of Π if there exists a surjective, order preserving map ϕ : Π→Π such that for all F ∈Π the following conditions hold:



  * F := ϕ^-1([0, F]) is a CW complex of the same dimension as F.

  * ϕ^-1(F) consists of all the interior cells of F.

  * |F| = |F|

",subdivision,subdivision###surjective###order preserving map###CW complex###dimension###interior cells,subdivision
"
Given lower Eulerian posets P and P of rank n, we say P is a strong Eulerian subdivision of P if there exists a surjective, order preserving map ϕ: P→ P such that for all σ∈ P, 



  * P_1(ϕ^-1[0, σ]) is a near-Eulerian poset.

  * ϕ^-1[0, σ] has rank ρ_P (σ).


",strong Eulerian subdivision,strong Eulerian subdivision###near-Eulerian poset###rank,strong Eulerian subdivision###near-Eulerian poset###rank
"
Let P and P be Gorenstein* posets of rank n. Suppose we have a surjective, order preserving map ϕ: P→ P. We say ϕ is a Gorenstein* subdivision map if for every σ∈ P, 



  * (ϕ^-1[0, σ], ϕ^-1[0, σ)) is a near-Gorenstein* poset.

  * ϕ^-1[0, σ] has rank ρ (σ).

",Gorenstein*,Gorenstein* subdivision map###Gorenstein* posets###rank###surjective###order preserving map###near-Gorenstein* poset###,Gorenstein* subdivision map###near-Gorenstein* poset
"
 Given a [Gorenstein*/simplicial/Eulerian] subdivision ϕ: →Π and some face σ∈ we define ϕ(σ) = τ∈Π to be the carrier of σ in Π. We say that σ is carried by τ.
",carrier;carried,Gorenstein###simplicial###Eulerian###carrier###carried,carrier
"
Let ϕ be a strong Eulerian subdivision of rank n Eulerian posets ϕ: Π→Π. We define the skeletal posets Π_i for 0 ≤ i ≤ n as follows:


 
  * Π_n ;= Π .
 
  * Π_0 ;= Π.
  
  * Let Π |_≥ i + 1:= {σ∈Π: ρ(σ) ≥ i + 1 } and let |_≤ i:= {σ∈: ρ( ϕ (σ)) ≤ i }. For 0 < i < n, we define 
    Π_i := Π |_≥ i + 1∪ |_≤ i
 to be a poset where for σ, τ∈Π_i we have the order relation σ≤τ if and only if exactly one of the following holds:
  


  * σ, τ∈Π |_≥ i + 1 and σ≤τ in Π.

  * σ, τ∈ |_≤ i and  σ≤τ in .

  * σ∈ |_≤ i, τ∈Π |_≥ i + 1 and ϕ(σ) ≤τ in Π.

  
  
  ",skeletal posets,Eulerian subdivision###rank###Eulerian posets###skeletal posets###poset###order relation###,skeletal posets Π_i###strong Eulerian subdivision of rank n Eulerian posets ϕ: Π→Π
"
Let C = F_0 < F_1 < … < F_k be a flag of Π_i.



  * If F_0, …, F_k ∈Π|_≥ i + 1, we say that C is an old flag.


  * If F_0, …, F_k ∈|_≤ i, we say that C is a new flag. If ρ ( _i (F_k)) = m (that is, F_k is carried by a rank m element of ) we say that C switches at rank m. 


  * If C = F_0 < … < F_j < F_j+1< … < F_k where F_0, …, F_j ∈|_≤ i and F_j+1, …, F_k ∈Π|_≥ i + 1 we say that C is a mixed flag. If ρ (_i) (F_j) = m we say that C switches at rank m.
 
",old;new;switches;mixed;switches,old flag###new flag###switches at rank m###mixed flag###switches at rank m,old flag###new flag###mixed flag###switches at rank m
"

Given a poset P, we define the pyramid of P by the set 


    (P):= P ×{0,1}

equipped with the partial order that for (x,α), (y, β) ∈(P) we have 


    (x, α) ≤_(P) (y, β )  x ≤_P y  AND α≤β  .
 

Furthermore, if P is a graded poset of rank n, (P) is a graded poset of rank n+1 with the rank function


    ρ_(P) (x, α) := ρ_P(x) + α  .

",pyramid,poset###pyramid###partial order###rank function###rank,pyramid of P###graded poset of rank n+1###rank function
"

 Given a simplicial polytope P, we say that a subdivision Γ of P is a triangulation if the following holds:



  * Every face of Γ is a simplex.

  * ∂Γ and ∂ P are combinatorially isomorphic as simplicial complexes. 

",triangulation,triangulation###simplicial polytope###subdivision###simplex###combinatorially isomorphic###simplicial complexes###,triangulation
"
We say that a simplicial d-polytope P is a stacked polytope if there exists a triangulation Γ of P such that for any face σ∈Γ with σ≤ d - 2, we also have that σ is a face of P. We say that P is (r-1)-stacked if for any σ∈Γ with σ≤ d-r we have that σ is a face of P. When given an (r-1)-stacked polytope P, we will implicitly refer to Γ as the stack subdivision of P. 

",stacked polytope;stack subdivision,stacked polytope###(r-1)-stacked polytope###stack subdivision,stacked polytope###(r-1)-stacked polytope###stack subdivision
" We say a (d-1)-dimensional simplicial sphere is k-shellably triangulizable if it may be triangulated as a shellable d-ball using exactly k d-simplices.
",k-shellably triangulizable,k-shellably triangulizable###shellable d-ball###d-simplices,k-shellably triangulizable
" Let P be an Eulerian poset of rank n. We define the g-polynomial g(P,x) of P recursively as follows:



  * If n=0, g(P,x) = 1.

  * If n > 0, g(P,x) ∈ℤ[x] is the unique polynomial with degree < n/2 that satisfies


    x^n g(P, 1/x) = ∑_σ∈ P g(σ, x) (x-1)^n-ρ(σ)  .



",g-polynomial,Eulerian poset###g-polynomial###rank###ℤ[x]###polynomial###degree###ρ(σ),g-polynomial###Eulerian poset
"
 Let P be a lower Eulerian poset of rank n. We then define the h-polynomial h(P,x) of P to be the unique polynomial h(P,x) ∈ℤ[x] satisfying


    x^n h(P, 1/x) = ∑_σ∈ P g(σ, x) (x-1)^n-ρ(σ)  .

",h-polynomial,"h-polynomial###lower Eulerian poset###rank###polynomial###ℤ[x]###∑_σ∈ P###g(σ, x)###ρ(σ)",h-polynomial
" Let P be a Eulerian poset of rank n > 0. Then we call h(P ∖{1}, x) the toric h-vector of P. 
",toric h-vector,Eulerian poset###rank###toric h-vector,toric h-vector
"
Let ϕ: Γ→Π be an order preserving and rank increasing function between lower Eulerian posets Γ and Π. We say that ϕ is strongly surjective if
 
 
 
  * ϕ is surjective.
 
  * For all z ∈Γ and x ∈Π such that ϕ(z) ≤ x, there exists some y ∈Γ such that z ≤ y, ϕ(y) ≤ x and ρ_Γ(y) = ρ_Π(x).
 
 
 ",strongly surjective,strongly surjective###order preserving###rank increasing###lower Eulerian posets###surjective###,strongly surjective
"
 Let ϕ: Γ→Π be an order preserving, rank increasing and strongly surjective function between lower Eulerian posets Γ and Φ. We say ϕ is a strong formal subdivision if and only if the following condition holds for all z ∈Γ and x ∈Π such that ϕ(z) ≤ x:


    ∑_ϕ(y) ≤ x 
     z ≤ y (-1)^ρ_Π(x) - ρ_Γ (y) = 
    
    1  if ϕ(z) = x
    
    0  otherwise.

",strong formal subdivision,strong formal subdivision###lower Eulerian posets###order preserving###rank increasing###strongly surjective function###Γ###Π###z###x###ϕ###ρ_Π###ρ_Γ,strong formal subdivision
"

Let ϕ: Γ→Π be a strong formal subdivision between lower Eulerian Γ and Eulerian Π. We recursively define the local h-polynomial ℓ_Π (Γ, x) ∈ℤ[x] to be the polynomial satisfying


    h(Γ, x) = ∑_σ∈Πℓ_σ(Γ_σ, x) g(σ, x)   .

",local h-polynomial,"strong formal subdivision###lower Eulerian###Eulerian###local h-polynomial###polynomial###h(Γ, x)###∑_σ∈Πℓ_σ(Γ_σ, x) g(σ, x)",strong formal subdivision###local h-polynomial
"
    Let u be a vertex in a graph G and let B be a set of edges incident to u. 
    Let G' = G ∖ B,  let ' be a path decomposition of G',
    and let A = {ux_i  1 ≤ i ≤ k} be a subset of B.
    We say that A is addible towards u (resp. addible outwards u ) with respect to ' if G' + A admits a path decomposition  such that
    
        
  *  ||=|'|;
        
  *  (u) = '(u) + |A| and (x_i) = '(x_i) -1, for 1≤ i≤ k 
        
                         (resp. (u) = '(u) - |A| and (x_i) = '(x_i) +1, for 1≤ i≤ k);
        
  *  (v) = '(v) for each v ∈ V(G)∖{u,x_1,…,x_k}.
    
    In these cases, we say that   is an A-transformation of ' towards (resp. outwards ) u.
    For simplifying the notation, when k = 1, we write ux_1-transformation instead of {ux_1}-transformation.
",addible towards u;addible outwards u;with respect to ';A-transformation;towards;outwards,vertex###graph###set###edges###incident###path decomposition###subset###addible###admits###path decomposition###transformation###notation###k###ux_1-transformation,A-transformation###ux_1-transformation###addible towards u###addible outwards u
"
Let G be a graph, and let F be a non-empty subgraph of G with components F_1, F_2, …, F_ℓ.
We say that F is a Fan subgraph if, 
for j =  2, …, ℓ, the graph F_j consists of a single edge 
joining even vertices of G,
and F_1 is either the null graph (graph with an empty set of vertices)
or the following hold.


    
  *  F_1 is a star with center at a vertex u and at least two leaves v_1, v_2, …, v_k and, for  i ≥ 2, the vertex v_i  is even in G;

  *  u has no even neighbor in G  E(F); and
    
  *  if v_1 is odd in G, then u is odd in G
    and each component of G is a triangle.

",Fan subgraph,Fan subgraph###graph###subgraph###components###null graph###star###center###leaves###vertices###even vertices###odd vertices###neighbor###triangle,Fan subgraph###star###null graph###triangle
" 
A MSTD fringe pair of order k is a pair (A, B) (also denoted (A, B; k) to indicate the order), where A and B are both subsets of [0,k], with 0 ∈ A and 0 ∈ B, and satisfying

    (A+A) ∩ [0,k]  +  (B+B) ∩ [0,k]  > 2  (A+B) ∩ [0,k] .

",MSTD fringe pair,"MSTD fringe pair of order k###(A, B)###(A, B; k)###order###subsets###[0,k]###0###(A+A)###(B+B)###(A+B)",MSTD fringe pair of order k
"
A minimal MSTD fringe pair is a MSTD fringe pair (A, B; k) for which there does not exist another MSTD fringe pair (A', B'; k') with (A, B; k) > (A', B'; k').
",minimal MSTD fringe pair,minimal MSTD fringe pair###MSTD fringe pair###A###B###k###A'###B'###k',minimal MSTD fringe pair
"
Let S ⊆ [0,n]. We say that S is a rich MSTD set with MSTD fringe pair (A, B; k) if

    2k < n,   
    	S ∩ [0,k] = A,   
    	(n - S) ∩ [0, k] = B,   and  
    	[k+1, 2n-k-1] ⊆ S + S.

The order of the rich MSTD set S is the smallest possible value of k for which there exists such an MSTD fringe pair (A, B; k).
",rich MSTD set;order,rich MSTD set###MSTD fringe pair###order,rich MSTD set###order of the rich MSTD set
